,Date,truckid,nbags,net_weight,origin,supplier,moisture,nut_count,outturn,defective,price,year,month,day,avg_wpb
71,2015-04-02,2182CU03,549,44071,75,14,6.33,193.0,46.52,13.55,,2015,4,2,80.27504553734062
72,2015-04-02,6312GC01,449,34963,73,62,14.56,190.0,47.08,13.55,,2015,4,2,77.86859688195992
73,2015-04-02,3063GC01,370,32770,9,84,13.26,162.0,48.84,6.0,,2015,4,2,88.56756756756756
74,2015-04-02,9275GC01,436,39360,17,86,11.13,171.0,46.9,8.05,,2015,4,2,90.27522935779817
75,2015-04-03,6573GL01,484,40264,60,86,11.3,175.0,46.02,11.3,,2015,4,3,83.1900826446281
76,2015-04-03,2739FL01,453,39827,5,9,17.0,190.0,44.08,19.1,,2015,4,3,87.91832229580574
77,2015-04-03,7922GR01,376,35104,9,84,16.86,179.0,49.02,6.9,,2015,4,3,93.36170212765957
78,2015-04-04,2773BH01,440,39716,34,86,12.8,182.0,45.76,12.7,,2015,4,4,90.26363636363637
79,2015-04-04,1437FK01,443,39817,9,75,14.7,189.0,47.08,9.35,,2015,4,4,89.8803611738149
80,2015-04-04,1256FL01,447,39773,24,127,7.73,185.0,46.64,7.8,,2015,4,4,88.97762863534676
81,2015-04-04,6392EJ01,424,37876,19,114,12.6,161.0,47.52,8.4,,2015,4,4,89.33018867924528
82,2015-04-04,7066EU02,493,41275,11,14,10.73,185.0,47.26,10.7,,2015,4,4,83.72210953346855
83,2015-04-05,2480FH01,379,33929,9,84,17.4,179.0,48.57,9.05,,2015,4,5,89.52242744063325
84,2015-04-05,1424FK01,395,35489,9,75,14.8,178.0,47.08,8.05,,2015,4,5,89.84556962025316
85,2015-04-05,6692CB01,374,34170,41,52,15.23,176.0,47.17,10.8,,2015,4,5,91.36363636363636
86,2015-04-06,5366EQ01,431,38553,49,66,15.7,187.0,48.05,9.75,,2015,4,6,89.45011600928075
87,2015-04-06,8581FK03,428,38564,52,66,13.0,161.0,48.14,9.85,,2015,4,6,90.10280373831776
88,2015-04-07,2666FG03,461,40487,75,14,10.16,181.0,46.9,9.4,,2015,4,7,87.82429501084599
89,2015-04-07,8010EJ01,451,39301,4,115,14.26,191.0,48.4,7.95,,2015,4,7,87.14190687361419
90,2015-04-07,6116FP01,449,39983,9,75,14.53,185.0,46.99,10.5,,2015,4,7,89.04899777282851
91,2015-04-07,7922GR01,385,34375,9,84,14.6,186.0,47.08,9.0,,2015,4,7,89.28571428571429
92,2015-04-07,7356CL07,460,39432,50,109,6.83,178.0,47.52,9.9,,2015,4,7,85.72173913043478
93,2015-04-07,2256EN01,378,34690,66,119,17.36,177.0,46.99,8.85,,2015,4,7,91.77248677248677
94,2015-04-07,5066FL01,528,39076,66,119,13.53,201.0,45.05,15.58,,2015,4,7,74.00757575757575
95,2015-04-08,7375CB01,452,39648,12,113,9.56,191.0,49.01,7.0,,2015,4,8,87.71681415929204
96,2015-04-08,2455EJ01,437,38643,64,114,14.53,191.0,43.82,16.9,,2015,4,8,88.4279176201373
97,2015-04-08,8553FA02,431,38905,66,119,13.93,187.0,43.12,18.0,,2015,4,8,90.26682134570765
98,2015-04-08,7772EZ01,459,40769,9,75,12.9,185.0,46.55,10.0,,2015,4,8,88.82135076252723
99,2015-04-09,9275GC01,462,39878,17,51,9.7,175.0,47.6,9.8,,2015,4,9,86.31601731601732
100,2015-04-09,2480FH01,389,33563,9,84,13.5,183.0,47.52,10.3,,2015,4,9,86.280205655527
101,2015-04-09,1623FS01,389,34711,3,7,10.33,180.0,46.02,11.05,,2015,4,9,89.23136246786632
102,2015-04-09,8438CG03,430,40086,19,54,9.93,185.0,47.08,9.1,,2015,4,9,93.22325581395349
103,2015-04-09,7796EK03,403,38305,29,53,10.2,171.0,45.05,10.1,,2015,4,9,95.04962779156328
104,2015-04-09,2081GA03,445,40671,19,114,14.9,171.0,46.9,9.4,,2015,4,9,91.39550561797753
105,2015-04-09,1987GF01,455,41145,60,8,8.3,178.0,46.9,9.6,,2015,4,9,90.42857142857143
106,2015-04-10,3390FL01,424,39804,72,18,10.93,143.0,47.08,9.35,,2015,4,10,93.87735849056604
107,2015-04-10,7922GR03,395,37025,9,84,20.56,184.0,46.99,12.4,,2015,4,10,93.73417721518987
108,2015-04-10,3899FR01,360,31924,24,127,7.96,190.0,48.13,7.35,,2015,4,10,88.67777777777778
109,2015-04-10,4338FN03,439,39805,27,54,14.73,175.0,48.49,7.45,,2015,4,10,90.67198177676538
110,2015-04-10,5011FE06,502,39318,60,118,10.75,175.0,44.97,13.5,,2015,4,10,78.32270916334662
111,2015-04-10,15FC06,455,39777,60,118,10.23,175.0,48.05,9.2,,2015,4,10,87.42197802197802
112,2015-04-10,1424FK01,404,35280,9,75,16.8,179.0,48.05,9.7,,2015,4,10,87.32673267326733
113,2015-04-11,6239FJ01,417,35827,9,84,12.96,201.0,47.52,12.9,,2015,4,11,85.91606714628297
114,2015-04-11,6612FJ03,441,39351,82,114,13.2,163.0,47.08,8.95,,2015,4,11,89.2312925170068
115,2015-04-11,804FK01,463,40429,9,75,17.0,196.0,49.1,7.3,,2015,4,11,87.31965442764579
116,2015-04-13,5065FK01,533,41519,66,119,15.36,189.0,43.21,16.85,,2015,4,13,77.89681050656661
117,2015-04-13,220FT01,456,40420,20,54,12.9,164.0,46.02,10.45,,2015,4,13,88.64035087719299
118,2015-04-13,2480FH01,397,35283,9,84,14.73,180.0,48.93,7.8,,2015,4,13,88.87405541561712
119,2015-04-13,7922GR01,408,35552,9,84,16.8,183.0,46.11,12.8,,2015,4,13,87.13725490196079
120,2015-04-14,8728EL02,505,42123,11,14,13.26,185.0,45.06,15.1,,2015,4,14,83.41188118811881
121,2015-04-14,8700FZ01,441,39759,60,118,11.23,172.0,48.66,7.0,,2015,4,14,90.15646258503402
122,2015-04-15,4865FH01,444,36740,1,62,13.26,201.0,45.14,18.5,,2015,4,15,82.74774774774775
123,2015-04-15,1437FK01,452,40144,9,75,14.26,194.0,47.43,8.35,,2015,4,15,88.8141592920354
124,2015-04-15,7375CB01,436,39140,82,18,14.2,174.0,48.84,7.4,,2015,4,15,89.77064220183486
125,2015-04-15,1424FK01,391,34625,9,75,11.73,190.0,48.84,7.7,,2015,4,15,88.55498721227622
126,2015-04-16,804FK01,450,40138,9,75,16.1,187.0,48.4,9.3,,2015,4,16,89.19555555555556
127,2015-04-16,2342FP01,356,31652,60,118,11.5,175.0,48.22,7.35,,2015,4,16,88.91011235955057
128,2015-04-16,3511FG04,455,40685,42,18,13.83,179.0,46.02,9.0,,2015,4,16,89.41758241758242
